defect_id,title,observed_message,expected,actual,category,severity,source
DEFECT 001,Budget-removal phrases retain max_price,Forget the budget / don't worry about budget / price doesn't matter / regardless of price / remove price limit,maximum_price cleared,All five tested phrases retained maximum_price 40,STATE_MEMORY,CRITICAL,Reproduced in S020-S024
DEFECT 002,New shopping goal retains stale hard constraints,Now I need a watch,"Old brand, colour, category, and budget cleared",Within-chat new goals retained old brand/colour/budget; independently created chats were isolated,STATE_MEMORY,CRITICAL,Reproduced in S037-S040; cross-chat S041-S043 passed
DEFECT 003,Profile/preference language becomes hard constraint,I like Nike; then Show me red t-shirts,Preference saved as soft signal; explicit request remains unbranded,No preference row was stored; Nike remained a hard active-chat brand,PROFILE_PERSONALIZATION,CRITICAL,"Reproduced in S045, with mechanism clarified"
DEFECT 004,Frontend historical-price reconstruction mismatch,Rendered product cards,Numeric persisted price renders as historical price,"1,152 of 1,287 numeric persisted records store formatted card price strings such as '$24.99 (historical)' that frontend toNumber rejects, yielding Historical price unavailable",PRICE_DISPLAY,HIGH,Reproduced by schema/data/code-path reconciliation
DEFECT 005,Named constraint relaxation is ignored,Any colour / any brand / ignore price / not Nike,Only named constraint cleared,All four named relaxations retained the constraint,STATE_MEMORY,CRITICAL,S029-S032
DEFECT 006,Negative colour requests invert into positive filters,Anything except red; I don't want black,Exclude colour,red/black became positive hard colour constraints,PARSER,CRITICAL,S034/S036
DEFECT 007,Show-more repeats identical products,Show me more / More options / Anything else,Continue to unseen options,All three variants repeated the identical ordered IDs,CONVERSATION_RESPONSE,HIGH,S051-S053
DEFECT 008,Relative refinement and ordinal references ignored,Cheaper/higher-rated/cheapest/most reviews/first/second/third/compare,Operate on prior results,Same ordinary recommendation set was repeated; ordinal products were not resolved,RESULT_REFERENCE,HIGH,S054-S063
DEFECT 009,Outfit pending state breaks across natural turns,Complete makeover -> birthday party -> Men,Preserve outfit intent and return 3x5 looks,Flow lost outfit recipient clarification and switched to generic product-type clarification,OUTFIT,CRITICAL,S073
DEFECT 010,Multi-product request treated as category intersection,Shoes and a watch under $150 total,Build a multi-item basket within total budget,Returned no matches for the intersected categories,CONVERSATION_RESPONSE,HIGH,S075
DEFECT 011,Signup requires username and confirmation password,Create account,"Display Name, Email, Password",Backend and frontend require username and confirm_password; email/display_name are optional,AUTH_UX,HIGH,"OpenAPI, app_users schema, frontend form"
