scenario_id,family,chat_id,turn,message,expected,response_status,assistant_message,hard_state_json,product_ids_json,product_count,outfit_group_count,constraint_verification,violations_json,behavior_ok,latency_seconds,ollama_calls,status,notes
F001,basic_search,674,1,show me shoes,category Shoes,recommendations,"I found 5 verified matches: Clarks Women's Breeze Sea Flip-Flop, Women's Walking Shoes Sock Sneakers - Mesh Slip On Air Cushion Lady Girls Modern Jazz Dance Easy Shoes Platform Loafers, Nike Men's Air Monarch Iv Cross Trainer, Skechers Men's Afterburn Memory-Foam Lace-up Sneaker, and RockDove Men's Original Two-Tone Memory Foam Slipper. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B07BZGVBF7"", ""B08134XNNB"", ""B07RJTN4CS"", ""B00DJSRER2"", ""B09DTQXJDP""]",5,0,True,[],True,0.87,0,PASS,hard state and product evidence verified
F002,basic_search,675,1,show me shirts,category Shirts,recommendations,"I found 5 verified matches: Gildan Men's Crew T-Shirts, Multipack, Style G1100, Gildan Adult Ultra Cotton Long Sleeve T-Shirt, Style G2400, Multipack, Top Gun Need For Speed Type Tank Top, Hanes Men's T-Shirts, Men's BeefyT Henley Shirts, Men's Cotton Long Sleeve Shirts, and Hanes Mens Beefy Short Sleeve Tee Value Pack (2-Pack) (Availble in Tall). Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shirts""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0BZDLXKTS"", ""B09DPVPZHY"", ""B07QN1V2LF"", ""B0C2D3BMC8"", ""B00KBZOB40""]",5,0,True,[],True,0.732,0,PASS,hard state and product evidence verified
F003,basic_search,676,1,show me dresses,category Dresses,recommendations,"I found 5 verified matches: GRECERELLE Women's Casual Loose Pocket Long Dress Short Sleeve Split Maxi Dresses, GRACE KARIN Boatneck Sleeveless Vintage Tea Dress with Belt, VIISHOW Women Short Sleeve Casual Maxi Dresses with Pockets, GRECERELLE Women's Sleeveless Racerback Maxi Dress Floral Print Casual Long Dresses with Pockets, and MUXXN Women's Retro 1950s Style Sleeveless Slim Business Pencil Dress. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Dresses""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B071YV88D9"", ""B016XUCYZO"", ""B07NQDH99P"", ""B09M6V2Q3G"", ""B01H54X6CM""]",5,0,True,[],True,0.792,0,PASS,hard state and product evidence verified
F005,basic_search,677,1,show me handbags,category Handbags & Wallets,recommendations,"I found 5 verified matches: DELUXITY Lightweight Medium Crossbody Bag with Tassel, Women's Soft Faux Leather Tote Shoulder Bag from Dreubea, Big Capacity Tassel Handbag, SG SUGU Lunar Lightweight Medium Dome Crossbody Bag Shoulder Bag with Tassel | Zipper Pocket | Adjustable Strap, Roma Leathers Crossbody, and PINCNEL Women Backpack Purse Waterproof Nylon Anti-theft Rucksack Lightweight Shoulder Bag. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Handbags & Wallets""], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B07WH4KXRC"", ""B07CS9CG1Q"", ""B07HBBK7V1"", ""B0C3BVZDRL"", ""B07BVVSGXL""]",5,0,True,[],True,0.833,0,PASS,hard state and product evidence verified
F004,basic_search,678,1,show me beauty products,honestly state catalogue limitation,clarification,"Beauty products are not represented in this processed catalogue. I can search its supported fashion, footwear, watches, jewellery, or accessory categories instead.","{""brands"": [], ""categories"": [], ""colours"": [], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}",[],0,0,True,[],True,0.532052,0,PASS,honest unsupported catalogue category
F006,hard_constraints,679,1,show me black Nike shoes,all explicit hard constraints,recommendations,"I found 1 verified match: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001). Prices shown are historical dataset prices, not live current prices.","{""brands"": [""Nike""], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3""]",1,0,True,[],True,1.001,0,PASS,hard state and product evidence verified
F007,hard_constraints,680,1,show me white shoes,all explicit hard constraints,recommendations,"I found 5 verified matches: Nfinity Adult Evolution Cheer Shoes, adidas Originals Superstar Sneaker, White/White/Core White, 5.5 US Unisex Big Kid, Kaepa Women's Stellarlyte Cheer Shoe, New Balance womens 411 V1 Walking Shoe, White/White, 5.5 Wide US, and adidas Originals Kids X_PLR Running Shoe, White/White/White, 10 US Unisex Toddler. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""white""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": null, ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B00MISO4OU"", ""B07ZDVDDJ8"", ""B00XOYS1IC"", ""B07X9HRL6S"", ""B0725QCTDW""]",5,0,True,[],True,0.874,0,PASS,hard state and product evidence verified
F008,hard_constraints,681,1,show me men's black shoes,all explicit hard constraints,recommendations,"I found 5 verified matches: Nike Men's Air Monarch IV Wide 4E Black/Black (416355 001), Speedo Men's Water Shoe Surfwalker Pro 3.0, FREE SOLDIER Waterproof Hiking Work Boots Men's Tactical Boots 6 Inches Lightweight Military Boots Breathable Desert Boots, Timberland PRO Men's Powertrain Sport Alloy Toe Sd+ Ripstop Nylon Industrial Boot, and Twisted X Men's Hooey Loper - Slip-on or Lace-up Wicking Loper Shoes for Men - Designed with Blended Rice Husk and Durable. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": ""men"", ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B0B2TB19C3"", ""B0BVMS91HD"", ""B09MVQ8NP7"", ""B0C672212P"", ""B083QTM398""]",5,0,True,[],True,0.794,0,PASS,hard state and product evidence verified
F009,hard_constraints,682,1,show me women's black shoes,all explicit hard constraints,recommendations,"I found 5 verified matches: Fila Women's w Memory Workshift Sr, USHTH Black Waterproof Rain Boot Shoe Cover with reflector (1 Pair) (Medium), Birkenstock Women's Honolulu Watermelon Eva R, Crocs Women's Patricia Wedges Sandal, Black/Black, 9, and UNOW Chinese Traditional Cloth Kung Fu Shoes,Black. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""black""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": null, ""minimum_price"": null, ""occasions"": [], ""price_mode"": null, ""recipient"": ""women"", ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B09LMHB3MF"", ""B09YTZ1H4D"", ""B0BZQHH61R"", ""B001IV5B9U"", ""B0C3Z947DF""]",5,0,True,[],True,0.787,0,PASS,hard state and product evidence verified
F010,hard_constraints,683,1,show me red shoes for men under $100,all explicit hard constraints,recommendations,"I found 1 verified match: ALTRA Men's Vali Sneaker. Prices shown are historical dataset prices, not live current prices.","{""brands"": [], ""categories"": [""Shoes""], ""colours"": [""red""], ""currency"": ""USD"", ""destination"": null, ""materials"": [], ""maximum_price"": 100.0, ""minimum_price"": null, ""occasions"": [], ""price_mode"": ""exact_max"", ""recipient"": ""men"", ""schema_version"": ""n24_hard_request_state_v1"", ""sizes"": [], ""timeframe"": null}","[""B07FFXW2MY""]",1,0,True,[],True,0.78,0,PASS,hard state and product evidence verified
