behavioral_family,chat_ids,classification,failure_category,notes,scenario_id,turn_count
BASIC_PRODUCT_DISCOVERY,[356],PASS,,[],S001,1
BASIC_PRODUCT_DISCOVERY,[357],PASS,,[],S002,1
BASIC_PRODUCT_DISCOVERY,[358],PASS,,[],S003,1
BASIC_PRODUCT_DISCOVERY,[359],PASS,,[],S004,1
BASIC_PRODUCT_DISCOVERY,[360],PASS,,[],S005,1
BRAND_REQUESTS,[361],PASS,,[],S006,1
BRAND_REQUESTS,[362],PASS,,[],S007,1
BRAND_REQUESTS,[363],PASS,,[],S008,1
COLOUR,[364],PASS,,[],S009,1
COLOUR,[365],PASS,,[],S010,1
COLOUR,[366],PASS,,[],S011,1
BUDGET_LANGUAGE,[367],PASS,,[],S012,1
BUDGET_LANGUAGE,[368],PASS,,[],S013,1
BUDGET_LANGUAGE,[369],PASS,,[],S014,1
BUDGET_LANGUAGE,[370],PASS,,[],S015,1
BUDGET_LANGUAGE,[371],PASS,,[],S016,1
BUDGET_LANGUAGE,[372],PASS,,[],S017,1
BUDGET_LANGUAGE,[373],PASS,,[],S018,1
BUDGET_LANGUAGE,[374],PASS,,[],S019,1
BUDGET_REMOVAL,[375],PASS,,[],S020,2
BUDGET_REMOVAL,[376],PASS,,[],S021,2
BUDGET_REMOVAL,[377],PASS,,[],S022,2
BUDGET_REMOVAL,[378],PASS,,[],S023,2
BUDGET_REMOVAL,[379],PASS,,[],S024,2
CONSTRAINT_REPLACEMENT,[380],PASS,,[],S025,2
CONSTRAINT_REPLACEMENT,[381],PASS,,[],S026,2
CONSTRAINT_REPLACEMENT,[382],PASS,,[],S027,2
CONSTRAINT_REPLACEMENT,[383],PASS,,[],S028,2
CONSTRAINT_RELAXATION,[384],PASS,,[],S029,2
CONSTRAINT_RELAXATION,[385],PASS,,[],S030,2
CONSTRAINT_RELAXATION,[386],PASS,,[],S031,2
CONSTRAINT_RELAXATION,[387],PASS,,[],S032,2
NEGATIVE_CONSTRAINTS,[388],PASS,,[],S033,1
NEGATIVE_CONSTRAINTS,[389],PASS,,[],S034,1
NEGATIVE_CONSTRAINTS,[390],PASS,,[],S035,1
NEGATIVE_CONSTRAINTS,[391],PASS,,[],S036,1
NEW_SHOPPING_GOAL,[392],PASS,,[],S037,2
NEW_SHOPPING_GOAL,[393],PASS,,[],S038,2
NEW_SHOPPING_GOAL,[394],PASS,,[],S039,2
NEW_SHOPPING_GOAL,[395],PASS,,[],S040,2
NEW_CHAT_ISOLATION,"[396, 397]",PASS,,[],S041,2
NEW_CHAT_ISOLATION,"[398, 399]",PASS,,[],S042,2
NEW_CHAT_ISOLATION,"[400, 401]",PASS,,[],S043,2
CHAT_RELOAD,[402],PASS,,[],S044,2
PROFILE_PREFERENCE_VS_HARD,[404],PASS,,[],S045,4
TYPO_CASUAL_LANGUAGE,[405],PASS,,[],S046,1
TYPO_CASUAL_LANGUAGE,[406],PASS,,[],S047,1
TYPO_CASUAL_LANGUAGE,[407],PASS,,[],S048,1
TYPO_CASUAL_LANGUAGE,[408],PASS,,[],S049,1
TYPO_CASUAL_LANGUAGE,[409],PASS,,[],S050,1
SHOW_MORE,[410],PASS,,[],S051,2
SHOW_MORE,[411],PASS,,[],S052,2
SHOW_MORE,[412],PASS,,[],S053,2
RELATIVE_REFINEMENT,[413],PASS,,[],S054,2
RELATIVE_REFINEMENT,[414],PASS,,[],S055,2
RELATIVE_REFINEMENT,[415],PASS,,[],S056,2
RELATIVE_REFINEMENT,[416],PASS,,[],S057,2
RELATIVE_REFINEMENT,[417],PASS,,[],S058,2
RESULT_REFERENCES,[418],PASS,,[],S059,2
RESULT_REFERENCES,[419],PASS,,[],S060,2
RESULT_REFERENCES,[420],PASS,,[],S061,2
RESULT_REFERENCES,[421],PASS,,[],S062,2
PRODUCT_COMPARISON,[422],PASS,,[],S063,2
NO_EXACT_MATCH,[423],PASS,,[],S064,1
NO_EXACT_MATCH,[424],PASS,,[],S065,1
NO_EXACT_MATCH,[425],PASS,,[],S066,1
GENERAL_SHOPPING_ADVICE,[426],PASS,,[],S067,1
GENERAL_SHOPPING_ADVICE,[427],PASS,,[],S068,1
GIFT_SHOPPING,[428],PASS,,[],S069,1
GIFT_SHOPPING,[429],PASS,,[],S070,1
OCCASION_SHOPPING,[430],PASS,,[],S071,1
OCCASION_SHOPPING,[431],PARTIAL,PARSER,"[""limited gift/occasion support""]",S072,1
OUTFIT_MAKEOVER,[432],PASS,,[],S073,3
OUTFIT_FOLLOW_UP,[433],PASS,,[],S074,2
MULTI_PRODUCT_AND_GROUNDING,[434],PARTIAL,DATA_LIMITATION,"[""multi-product shared basket remains unsupported""]",S075,3
