scenario_id,behavioral_family,chat_id,turn_number,user_message,expected_behavior,actual_parsed_state,actual_active_state,response_summary,returned_product_ids,hard_constraints,soft_preferences,pass_status,failure_category,diagnostic_notes,http_status,elapsed_seconds,product_price_evidence
S001,BASIC_PRODUCT_DISCOVERY,86,1,Show me watches.,Interpret watches as the current category with normal product mode and no stale constraints.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""Watches""], ""brands"": [], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""Watches"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Product: Watches - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B0BG65PQ9F"", ""B071D37SF9"", ""B01M636GNK"", ""B01I9OMC2C"", ""B08X2X5YN5"", ""B000GAYQKY"", ""B01M4I8D07"", ""B09S4VHC1B"", ""B001AWZDA4"", ""B01AYFTRJA""]","{""categories"": [""Watches""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,1.797714,"[{""product_id"": ""B0BG65PQ9F"", ""numeric_db_price"": 63.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B071D37SF9"", ""numeric_db_price"": 22.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01M636GNK"", ""numeric_db_price"": 36.4, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01I9OMC2C"", ""numeric_db_price"": 37.73, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08X2X5YN5"", ""numeric_db_price"": 13.59, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B000GAYQKY"", ""numeric_db_price"": 52.92, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01M4I8D07"", ""numeric_db_price"": 32.9, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09S4VHC1B"", ""numeric_db_price"": 49.92, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B001AWZDA4"", ""numeric_db_price"": 21.92, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01AYFTRJA"", ""numeric_db_price"": 19.99, ""reconstructed_card_price"": null, ""price_display"": null}]"
S002,BASIC_PRODUCT_DISCOVERY,87,1,Show me shoes.,Interpret shoes as the current category with normal product mode and no stale constraints.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""Shoes""], ""brands"": [], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""Shoes"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Product: Shoes - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B07BZGVBF7"", ""B08134XNNB"", ""B00DJSRER2"", ""B09DTQXJDP"", ""B07W5J6XMP"", ""B01M17LSEE"", ""B0922DBSLN"", ""B07JPYSNDP"", ""B0BYNY3FQR"", ""B00Q4V24RQ""]","{""categories"": [""Shoes""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,2.232697,"[{""product_id"": ""B07BZGVBF7"", ""numeric_db_price"": 31.62, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08134XNNB"", ""numeric_db_price"": 34.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00DJSRER2"", ""numeric_db_price"": 45.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09DTQXJDP"", ""numeric_db_price"": 23.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07W5J6XMP"", ""numeric_db_price"": 39.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01M17LSEE"", ""numeric_db_price"": 127.24, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0922DBSLN"", ""numeric_db_price"": 49.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07JPYSNDP"", ""numeric_db_price"": 11.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BYNY3FQR"", ""numeric_db_price"": 42.9, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00Q4V24RQ"", ""numeric_db_price"": 57.95, ""reconstructed_card_price"": null, ""price_display"": null}]"
S003,BASIC_PRODUCT_DISCOVERY,88,1,Show me t-shirts.,Interpret t-shirts as the current category with normal product mode and no stale constraints.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""T-Shirts"", ""Shirts""], ""brands"": [], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""T-Shirts Shirts"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}","I understood your shopping request.  - Product: T-Shirts, Shirts - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.","[""B07TVHSDMQ"", ""B0BZDLXKTS"", ""B08R8W8GP9"", ""B09DPVPZHY"", ""B07QN1V2LF"", ""B07T7RFKSR"", ""B0C2D3BMC8"", ""B0C4HS52X9"", ""B09Y3V1P78"", ""B07KCN4G6T""]","{""categories"": [""T-Shirts"", ""Shirts""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,2.262969,"[{""product_id"": ""B07TVHSDMQ"", ""numeric_db_price"": 17.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BZDLXKTS"", ""numeric_db_price"": 21.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08R8W8GP9"", ""numeric_db_price"": 23.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09DPVPZHY"", ""numeric_db_price"": 17.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07QN1V2LF"", ""numeric_db_price"": 25.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07T7RFKSR"", ""numeric_db_price"": 19.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0C2D3BMC8"", ""numeric_db_price"": 14.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0C4HS52X9"", ""numeric_db_price"": 21.33, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09Y3V1P78"", ""numeric_db_price"": 18.75, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07KCN4G6T"", ""numeric_db_price"": 38.3, ""reconstructed_card_price"": null, ""price_display"": null}]"
S004,BASIC_PRODUCT_DISCOVERY,89,1,I need a jacket.,Interpret jacket as the current category with normal product mode.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""Jackets""], ""brands"": [], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""Jackets"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Product: Jackets - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B0BLXPNPQV"", ""B0084AVW7I"", ""B0BFQBC58T"", ""B0B18B6FGH"", ""B08JJJV897"", ""B0BHTPQ72V"", ""B09HDMWRTX"", ""B09M6QR4BP"", ""B08224J2ZG"", ""B00NHO4WCS""]","{""categories"": [""Jackets""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,3.180532,"[{""product_id"": ""B0BLXPNPQV"", ""numeric_db_price"": 44.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0084AVW7I"", ""numeric_db_price"": 44.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BFQBC58T"", ""numeric_db_price"": 23.92, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0B18B6FGH"", ""numeric_db_price"": 49.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08JJJV897"", ""numeric_db_price"": 38.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BHTPQ72V"", ""numeric_db_price"": 179.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09HDMWRTX"", ""numeric_db_price"": 39.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09M6QR4BP"", ""numeric_db_price"": 69.97, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08224J2ZG"", ""numeric_db_price"": 49.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00NHO4WCS"", ""numeric_db_price"": 69.97, ""reconstructed_card_price"": null, ""price_display"": null}]"
S005,BASIC_PRODUCT_DISCOVERY,90,1,Show me some accessories.,Interpret accessories without unrelated stale constraints.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""Accessories""], ""brands"": [], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""Accessories"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Product: Accessories - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B00975EAJ6"", ""B01N5HUOFP"", ""B089RXP8K2"", ""B0B9ZYDDZ1"", ""B0C4YKLXPQ"", ""B096B6CXWG"", ""B0B9KD494Z"", ""B0895FKB9P"", ""B07MT546HC"", ""B09ZVK34DX""]","{""categories"": [""Accessories""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,4.033276,"[{""product_id"": ""B00975EAJ6"", ""numeric_db_price"": 9.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01N5HUOFP"", ""numeric_db_price"": 12.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B089RXP8K2"", ""numeric_db_price"": 13.59, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0B9ZYDDZ1"", ""numeric_db_price"": 15.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0C4YKLXPQ"", ""numeric_db_price"": 19.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B096B6CXWG"", ""numeric_db_price"": 10.19, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0B9KD494Z"", ""numeric_db_price"": 10.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0895FKB9P"", ""numeric_db_price"": 18.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07MT546HC"", ""numeric_db_price"": 19.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09ZVK34DX"", ""numeric_db_price"": 24.49, ""reconstructed_card_price"": null, ""price_display"": null}]"
S006,BRAND_REQUESTS,91,1,Show me Nike shoes.,Nike is an explicit hard brand constraint and shoes is the product category.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""Shoes""], ""brands"": [""Nike""], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""Shoes from Nike"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Product: Shoes - Brand: Nike - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B07RJTN4CS"", ""B01D3MS79W"", ""B0753J399N"", ""B01HZR3P02"", ""B078H9Z1S5"", ""B01MRC85DW"", ""B08XX28VQ9"", ""B00P927FTI"", ""B01LWRFXMD"", ""B01MUHRR8I""]","{""categories"": [""Shoes""], ""brands"": [""Nike""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,2.989029,"[{""product_id"": ""B07RJTN4CS"", ""numeric_db_price"": 74.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01D3MS79W"", ""numeric_db_price"": 29.76, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0753J399N"", ""numeric_db_price"": 44.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01HZR3P02"", ""numeric_db_price"": 99.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B078H9Z1S5"", ""numeric_db_price"": 103.59, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01MRC85DW"", ""numeric_db_price"": 73.93, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08XX28VQ9"", ""numeric_db_price"": 34.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00P927FTI"", ""numeric_db_price"": 105.97, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01LWRFXMD"", ""numeric_db_price"": 197.5, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B01MUHRR8I"", ""numeric_db_price"": 69.95, ""reconstructed_card_price"": null, ""price_display"": null}]"
S007,BRAND_REQUESTS,92,1,Show me adidas t-shirts.,adidas is an explicit hard brand constraint and t-shirts is the product category.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""T-Shirts"", ""Shirts""], ""brands"": [""adidas""], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""T-Shirts Shirts from adidas"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}","I understood your shopping request.  - Product: T-Shirts, Shirts - Brand: adidas - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.","[""B08XC9Z2J5"", ""B09H1WZSV5"", ""B08NVTDY3G"", ""B07KT4J317"", ""B0BBXKBQYY"", ""B08PZVWBTL"", ""B00ZFNRGWM"", ""B014UWAHOW"", ""B087LV6C6G"", ""B086HZX8LW""]","{""categories"": [""T-Shirts"", ""Shirts""], ""brands"": [""adidas""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,2.326269,"[{""product_id"": ""B08XC9Z2J5"", ""numeric_db_price"": 15.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09H1WZSV5"", ""numeric_db_price"": 12.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08NVTDY3G"", ""numeric_db_price"": 21.9, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07KT4J317"", ""numeric_db_price"": 28.5, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BBXKBQYY"", ""numeric_db_price"": 15.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08PZVWBTL"", ""numeric_db_price"": 29.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00ZFNRGWM"", ""numeric_db_price"": 13.98, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B014UWAHOW"", ""numeric_db_price"": 30.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B087LV6C6G"", ""numeric_db_price"": 22.34, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B086HZX8LW"", ""numeric_db_price"": 26.73, ""reconstructed_card_price"": null, ""price_display"": null}]"
S008,BRAND_REQUESTS,93,1,Show me products from Skechers.,Skechers becomes the explicit hard brand constraint.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [], ""brands"": [""Skechers""], ""colors"": [], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""from Skechers"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Brand: Skechers - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B00DJSRER2"", ""B0BYNY3FQR"", ""B005GI8UZ8"", ""B093T7CCCF"", ""B016P9A6GM"", ""B07C2KSHC7"", ""B00LFAXBVO"", ""B00WR255YK"", ""B00L522Z0U"", ""B0BN6CCHB7""]","{""brands"": [""Skechers""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,2.45199,"[{""product_id"": ""B00DJSRER2"", ""numeric_db_price"": 45.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BYNY3FQR"", ""numeric_db_price"": 42.9, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B005GI8UZ8"", ""numeric_db_price"": 49.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B093T7CCCF"", ""numeric_db_price"": 49.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B016P9A6GM"", ""numeric_db_price"": 72.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07C2KSHC7"", ""numeric_db_price"": 36.95, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00LFAXBVO"", ""numeric_db_price"": 50.77, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00WR255YK"", ""numeric_db_price"": 55.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00L522Z0U"", ""numeric_db_price"": 75.0, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BN6CCHB7"", ""numeric_db_price"": 54.97, ""reconstructed_card_price"": null, ""price_display"": null}]"
S009,COLOUR,94,1,Show me black shoes.,Black is enforced as an explicit colour constraint for shoes.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""Shoes""], ""brands"": [], ""colors"": [""black""], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""Shoes in black"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",I understood your shopping request.  - Product: Shoes - Colour: black - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.,"[""B07FXWWPN6"", ""B07D8NRTXC"", ""B0C4LT6VYD"", ""B00WQ4DIYI"", ""B0C49D8R7P"", ""B07Q2347GD"", ""B0C4LJGW26"", ""B002G9UFNK"", ""B096DWNW67"", ""B008F7E9G6""]","{""categories"": [""Shoes""], ""colors"": [""black""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,6.29591,"[{""product_id"": ""B07FXWWPN6"", ""numeric_db_price"": 29.71, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07D8NRTXC"", ""numeric_db_price"": 21.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0C4LT6VYD"", ""numeric_db_price"": 24.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00WQ4DIYI"", ""numeric_db_price"": 45.2, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0C49D8R7P"", ""numeric_db_price"": 17.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07Q2347GD"", ""numeric_db_price"": 27.9, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0C4LJGW26"", ""numeric_db_price"": 33.36, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B002G9UFNK"", ""numeric_db_price"": 8.85, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B096DWNW67"", ""numeric_db_price"": 55.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B008F7E9G6"", ""numeric_db_price"": 27.98, ""reconstructed_card_price"": null, ""price_display"": null}]"
S010,COLOUR,95,1,Show me red t-shirts.,Red is enforced as an explicit colour constraint for t-shirts.,{},"{""profile_id"": ""account_10_7c280d1d4b3d"", ""categories"": [""T-Shirts"", ""Shirts""], ""brands"": [], ""colors"": [""red""], ""materials"": [], ""sizes"": [], ""occasions"": [], ""minimum_price"": null, ""maximum_price"": null, ""currency"": ""USD"", ""destination"": null, ""timeframe"": null, ""top_brand_mode"": false, ""active_request_text"": ""T-Shirts Shirts in red"", ""memory_version"": ""active_request_memory_v1"", ""_pending_bridge_version"": ""chat_pending_bridge_v1""}","I understood your shopping request.  - Product: T-Shirts, Shirts - Colour: red - Maximum price: flexible  I found 10 exact matches satisfying the current constraints.  Prices are historical dataset prices and may differ from current Amazon prices.","[""B0BLZY8SPJ"", ""B07B4FMN9C"", ""B08R3HJTCG"", ""B00SXBTPUY"", ""B07JNQPBKP"", ""B07NC2PXHY"", ""B00SUMQHYS"", ""B0BS39GD55"", ""B09XFRYSYD"", ""B00O972ZAI""]","{""categories"": [""T-Shirts"", ""Shirts""], ""colors"": [""red""], ""_pending_bridge_version"": ""chat_pending_bridge_v1""}",[],PASS,,Observed behavior matched the automated diagnostic expectation.,200,5.464864,"[{""product_id"": ""B0BLZY8SPJ"", ""numeric_db_price"": 49.36, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07B4FMN9C"", ""numeric_db_price"": 21.98, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B08R3HJTCG"", ""numeric_db_price"": 25.01, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00SXBTPUY"", ""numeric_db_price"": 19.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07JNQPBKP"", ""numeric_db_price"": 21.98, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B07NC2PXHY"", ""numeric_db_price"": 29.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00SUMQHYS"", ""numeric_db_price"": 34.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B0BS39GD55"", ""numeric_db_price"": 34.99, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B09XFRYSYD"", ""numeric_db_price"": 14.85, ""reconstructed_card_price"": null, ""price_display"": null}, {""product_id"": ""B00O972ZAI"", ""numeric_db_price"": 18.36, ""reconstructed_card_price"": null, ""price_display"": null}]"
